INTRA_MIA_ABUTT_WEIGHT,MIA_WEIGHT,FIXED_HARD_FILLER_WEIGHT,ABS_DISPLACEMENT_WEIGHT,INTRA_CELL_RIPUP_TIMES,INTRA_CELL_RIPUP_FREQ,score
0.0,1.0,5.6,9.0,1,100,68.3825
1.0,1.0,5.6,9.0,1,100,55.9736
2.0,1.0,5.6,9.0,1,100,38.3196
3.0,1.0,5.6,9.0,1,100,27.7443
4.0,1.0,5.6,9.0,1,100,21.3458
5.0,1.0,5.6,9.0,1,100,16.0153
6.0,1.0,5.6,9.0,1,100,13.5176
7.0,1.0,5.6,9.0,1,100,12.0994
8.0,1.0,5.6,9.0,1,100,11.2405
10.0,1.0,5.6,9.0,1,100,10.9524
11.0,1.0,5.6,9.0,1,100,11.0985
12.0,1.0,5.6,9.0,1,100,11.2637
13.0,1.0,5.6,9.0,1,100,11.3554
13.0,1.0,5.6,9.0,1,100,11.3554
15.0,1.0,5.6,9.0,1,100,11.7163
4.5,0.0,5.6,9.0,1,100,35.7101
4.5,0.3,5.6,9.0,1,100,28.0545
4.5,0.6,5.6,9.0,1,100,21.9393
4.5,0.9,5.6,9.0,1,100,18.068
4.5,1.2,5.6,9.0,1,100,19.6439
4.5,1.35,5.6,9.0,1,100,14.1837
4.5,1.5,5.6,9.0,1,100,14.7031
4.5,1.65,5.6,9.0,1,100,14.5289
4.5,1.8,5.6,9.0,1,100,16.1969
4.5,2.1,5.6,9.0,1,100,14.3601
4.5,2.4,5.6,9.0,1,100,14.5777
4.5,2.7,5.6,9.0,1,100,14.1692
4.5,3.0,5.6,9.0,1,100,13.2316
4.5,3.3,5.6,9.0,1,100,13.272
4.5,3.6,5.6,9.0,1,100,13.4625
4.5,4.0,5.6,9.0,1,100,15.6279
4.5,4.5,5.6,9.0,1,100,16.0927
4.5,5.0,5.6,9.0,1,100,15.9544
4.5,6.0,5.6,9.0,1,100,17.0712
4.5,7.0,5.6,9.0,1,100,18.5443
4.5,8.0,5.6,9.0,1,100,21.5373
4.5,9.0,5.6,9.0,1,100,22.4092
4.5,10.0,5.6,9.0,1,100,26.1168
4.5,1.0,0.0,9.0,1,100,154.568
4.5,1.0,0.8,9.0,1,100,118.405
4.5,1.0,1.6,9.0,1,100,76.2085
4.5,1.0,2.4,9.0,1,100,60.2355
4.5,1.0,3.2,9.0,1,100,39.9904
4.5,1.0,4.0,9.0,1,100,28.5717
4.5,1.0,4.8,9.0,1,100,17.9443
4.5,1.0,5.6,9.0,1,100,20.832
4.5,1.0,6.4,9.0,1,100,14.7916
4.5,1.0,7.2,9.0,1,100,14.0217
4.5,1.0,8.0,9.0,1,100,12.1465
4.5,1.0,9.0,9.0,1,100,11.5111
4.5,1.0,10.0,9.0,1,100,12.6074
4.5,1.0,5.6,1.0,1,100,23.2138
4.5,1.0,5.6,2.0,1,100,16.3629
4.5,1.0,5.6,4.0,1,100,12.576
4.5,1.0,5.6,6.0,1,100,11.6936
4.5,1.0,5.6,8.0,1,100,13.8101
4.5,1.0,5.6,10.0,1,100,23.4473
4.5,1.0,5.6,12.0,1,100,38.8047
4.5,1.0,5.6,14.0,1,100,58.5442
4.5,1.0,5.6,16.0,1,100,76.3739
4.5,1.0,5.6,18.0,1,100,86.7176
4.5,1.0,5.6,20.0,1,100,101.832
4.5,1.0,5.6,22.0,1,100,114.238
4.5,1.0,5.6,24.0,1,100,122.459
9.5,2.8,8.5,5.0,1,100,14.8703
9.5,2.8,8.5,6.0,1,100,13.5959
9.5,2.8,8.5,7.0,1,100,12.8179
9.5,2.8,9.0,5.0,1,100,14.8666
9.5,2.8,9.0,6.0,1,100,13.7898
9.5,2.8,9.0,7.0,1,100,12.7358
9.5,2.8,9.5,5.0,1,100,14.4892
9.5,2.8,9.5,6.0,1,100,13.5231
9.5,2.8,9.5,7.0,1,100,12.8052
9.5,2.9,8.5,5.0,1,100,14.8221
9.5,2.9,8.5,6.0,1,100,13.7709
9.5,2.9,8.5,7.0,1,100,12.8503
9.5,2.9,9.0,5.0,1,100,14.9689
9.5,2.9,9.0,6.0,1,100,13.7212
9.5,2.9,9.0,7.0,1,100,12.9393
9.5,2.9,9.5,5.0,1,100,14.9929
9.5,2.9,9.5,6.0,1,100,13.641
9.5,2.9,9.5,7.0,1,100,12.9695
9.5,3.0,8.5,5.0,1,100,15.0991
9.5,3.0,8.5,6.0,1,100,13.8521
9.5,3.0,8.5,7.0,1,100,12.9786
9.5,3.0,9.0,5.0,1,100,14.9625
9.5,3.0,9.0,6.0,1,100,13.6881
9.5,3.0,9.0,7.0,1,100,13.0849
9.5,3.0,9.5,5.0,1,100,14.9527
9.5,3.0,9.5,6.0,1,100,13.776
9.5,3.0,9.5,7.0,1,100,13.0065
9.5,3.1,8.5,5.0,1,100,15.148
9.5,3.1,8.5,6.0,1,100,13.7993
9.5,3.1,8.5,7.0,1,100,12.9267
9.5,3.1,9.0,5.0,1,100,15.2208
9.5,3.1,9.0,6.0,1,100,13.8307
9.5,3.1,9.0,7.0,1,100,13.0309
9.5,3.1,9.5,5.0,1,100,15.1597
9.5,3.1,9.5,6.0,1,100,13.9915
9.5,3.1,9.5,7.0,1,100,13.0136
9.5,3.2,8.5,5.0,1,100,15.4882
9.5,3.2,8.5,6.0,1,100,13.8632
9.5,3.2,8.5,7.0,1,100,12.9774
9.5,3.2,9.0,5.0,1,100,15.2913
9.5,3.2,9.0,6.0,1,100,13.7545
9.5,3.2,9.0,7.0,1,100,12.9846
9.5,3.2,9.5,5.0,1,100,15.3582
9.5,3.2,9.5,6.0,1,100,13.9207
9.5,3.2,9.5,7.0,1,100,12.8953
10.0,2.8,8.5,5.0,1,100,15.1703
10.0,2.8,8.5,6.0,1,100,13.812
10.0,2.8,8.5,7.0,1,100,13.045
10.0,2.8,9.0,5.0,1,100,15.0617
10.0,2.8,9.0,6.0,1,100,13.8291
10.0,2.8,9.0,7.0,1,100,12.9156
10.0,2.8,9.5,5.0,1,100,15.2063
10.0,2.8,9.5,6.0,1,100,13.9571
10.0,2.8,9.5,7.0,1,100,13.0444
10.0,2.9,8.5,5.0,1,100,15.2527
10.0,2.9,8.5,6.0,1,100,13.9476
10.0,2.9,8.5,7.0,1,100,12.9789
10.0,2.9,9.0,5.0,1,100,15.051
10.0,2.9,9.0,6.0,1,100,13.9422
10.0,2.9,9.0,7.0,1,100,13.2097
